date,height,yield
1956.5,60,15.2
1945.583333,30,21
1951.833333,30,0.05
1953.333333,30,0.2
1958.833333,30,0.079
1958.833333,20,0.0012
1958.833333,20,0.09
1958.833333,20,0
1958.833333,20,0.021
1958.833333,16,0.0006
1958.833333,15,0
1962.583333,12,
1952.833333,10,10400
1958.833333,10,0.0007
1958.833333,10,0.0078
1958.833333,10,0.0002
1958.833333,8,0
1956.583333,6,4500
1958.583333,6,0
1956.416667,5,40
1956.5,4.5,365
1956.583333,4.5,5000
1958.5,4.5,15
1954.25,4.3,11000
1954.416667,4.3,13500
1954.416667,4.3,1690
1954.333333,4,6900
1958.416667,4,5.9
1958.416667,4,57
1958.583333,3.4,220
1956.416667,3,3500
1958.416667,3,1360
1958.416667,3,81
1958.416667,3,25.1
1958.416667,3,330
1958.416667,3,92
1958.5,3,213
1958.5,3,319
1958.5,3,412
1958.5,3,14
1958.583333,3,397
1958.583333,3,9300
1958.583333,3,65
1958.583333,3,202
1958.583333,3,2000
1962.583333,3,0.6
1954.333333,2.9,110
1958.416667,2.7,11.6
1958.5,2.7,880
1958.5,2.5,11
1954.166667,2,15000
1956.5,2,13.7
1958.5,2,1450
1958.583333,2,5.2
1958.583333,2,255
1958.5,1.8,8900
1951.916667,1.1,1.2
1958.416667,1,18
1958.666667,1,0
1962.583333,1,
1958.416667,0.81,1370
1958.666667,0.5,0.02
1955.916667,0,0
1955.916667,0,0
1955.916667,0,0
1956.083333,0,0.01
1957.583333,0,0
1957.75,0,0.3
1958,0,0.5
1958.833333,0,0.024
1958.833333,0,0.0017
1958.833333,0,0
1963.416667,0,0
1963.416667,0,0
1963.416667,0,0
1963.5,0,0
1962.583333,-0.6,0.5
1951.916667,-10,1.2
1955.25,-20,1
1946.583333,-27,21
1965,-27.28,0.092
1962.25,-30,0.43
1958.833333,-30.02,0.115
1958.166667,-30.48,0.0005
1958.25,-34.75,0.0005
1957.666667,-39.01,0
1958.75,-42.67,0.013
1958.5,-50,8
1968.25,-50.29,1.08
1968.25,-50.29,1.08
1968.25,-50.29,1.08
1968.25,-50.29,1.08
1968.25,-50.29,1.08
1968.083333,-51.82,2.3
1958.75,-55.78,0.01
1963.333333,-56.69,
1962.166667,-57.84,
1963,-58.52,
1963.166667,-59.38,
1962.833333,-59.44,
1963.833333,-60.35,
1963.166667,-60.96,
1962.25,-73.15,
1962.833333,-73.43,
